stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1200,1200,"W 32nd St at Legion Rd",,42.0839614868,-80.133072,,,0,,0
1201,1201,"W 32nd St at Hastings Rd",,42.0797348022,-80.144432,,,0,,0
1202,1202,"W 32nd St opp Stoughton Rd",,42.0787811279,-80.146973,,,0,,0
1203,1203,"W 32nd St at Caughey Rd",,42.0774002075,-80.15078,,,0,,0
1204,1204,"Albion SCI",,41.8773193359,-80.366135,,,0,,0
122,122,"W 12 St at Country Fair",,42.0999565125,-80.144806,,,0,,0
123,123,"W 12th St at Filmore Ave",,42.1006851196,-80.142853,,,0,,0
1232,1232,"Mail St at Walnut",,42.0012741089,-80.3162,,,0,,0
1233,1233,"Rt 20 at Westegate Dr",,42.0083274841,-80.304565,,,0,,0
1235,1235,"Rt 20 at Dobler Rd",,42.0211296082,-80.271271,,,0,,0
1236,1236,"Rt 20 at Franklin Rd",,42.0285987854,-80.258347,,,0,,0
1237,1237,"Rt 20 at Avonia Rd-Burger King Fairview",,42.0310249329,-80.255745,,,0,,0
124,124,"W 12th St at Lowell Ave",,42.1012916565,-80.14122,,,0,,0
1240,1240,"Rt 20 at Linda Ave",,42.0281028748,-80.259102,,,0,,0
1241,1241,"RT 20 at Glenn Ave",,42.0261878967,-80.261238,,,0,,0
1244,1244,"Rt 20 at Blair Rd",,42.0187149048,-80.278137,,,0,,0
1245,1245,"Rt 20 at Birchdale",,42.0173149109,-80.282349,,,0,,0
1247,1247,"Rt 20 at Trinity Dr",,42.0081443787,-80.305122,,,0,,0
1249,1249,"Main St at Penn Ave",,42.0021400452,-80.314919,,,0,,0
125,125,"Industrial at W 14th St",,42.1003646851,-80.138344,,,0,,0
1250,1250,"Main St at Olin Ave",,42.0015182495,-80.316002,,,0,,0
1253,1253,"Intersection Rt 20 at Rice Ave Country F",,41.999420166,-80.319801,,,0,,0
126,126,"Industrial at W 16th St",,42.0987358093,-80.137299,,,0,,0
1264,1264,"Rice Ave at Sampson",,42.0138816833,-80.338654,,,0,,0
1266,1266,"Rice Ave at Miles SB",,42.0078468323,-80.327026,,,0,,0
1267,1267,"Rice Ave at Templeton",,42.0051689148,-80.323586,,,0,,0
1268,1268,"Rice Ave at Rt 20 Country Fair SB",,41.999710083,-80.32016,,,0,,0
127,127,"Pittsburgh Ave",,42.1046562195,-80.130707,,,0,,0
128,128,"W 15th St IB",,42.1046562195,-80.125069,,,0,,0
129,129,"W 16th St opp Lincoln Ave",,42.1068572998,-80.117531,,,0,,0
1290,1290,"Benetwood Apartments",,42.1760101318,-79.973083,,,0,,0
1291,1291,"Conrad House",,42.173866272,-79.993233,,,0,,0
1292,1292,"Harborcreek Municipal Building",,42.1582298279,-79.97345,,,0,,0
1293,1293,"Harborcreek Wal-Mart",,42.1586456299,-79.968185,,,0,,0
1294,1294,"Buffalo Rd at Roberts Ave",,42.1516609192,-79.99176,,,0,,0
1295,1295,"Buffalo Rd at Hannon Rd",,42.1541404724,-79.985825,,,0,,0
1296,1296,"Buffalo Rd at Clark Rd",,42.1560058594,-79.981552,,,0,,0
1297,1297,"Buffalo Rd at TImber Ln",,42.1637458801,-79.960907,,,0,,0
1298,1298,"Iroquois Ave at Troupe Rd",,42.1645393372,-79.962997,,,0,,0
1299,1299,"Troupe Rd at Redwood Dr",,42.1725730896,-79.970985,,,0,,0
130,130,"W 16th St at Greengarden",,42.1081771851,-80.115013,,,0,,0
1300,1300,"Troupe Rd at E Lake Rd",,42.1784744263,-79.976868,,,0,,0
1301,1301,"E Lake Rd at Cambridge Rd",,42.1737136841,-79.989693,,,0,,0
1303,1303,"E Lake Rd at Oak Tree Ct",,42.1695098877,-80.000679,,,0,,0
1304,1304,"E Lake Rd at Preston Ave",,42.1662940979,-80.005112,,,0,,0
1305,1305,"E Lake Rd at Joshua Dr",,42.1634292603,-80.009048,,,0,,0
1307,1307,"E Lake Rd at Howe Ave",,42.1558303833,-80.019653,,,0,,0
1308,1308,"E Lake Rd at Water",,42.1539916992,-80.022232,,,0,,0
1309,1309,"E lake Rd at Water",,42.154838562,-80.020645,,,0,,0
131,131,"Greengarden at W 12th St",,42.1105537415,-80.116058,,,0,,0
1310,1310,"E Lake Rd at Silliman Ave",,42.1568603516,-80.017853,,,0,,0
1312,1312,"East Lake Woods",,42.1650009155,-80.007942,,,0,,0
1313,1313,"E Lake Rd at Manistee Ave",,42.1658935547,-80.005341,,,0,,0
1314,1314,"E Lake Rd at Fair Ave",,42.16847229,-80.001808,,,0,,0
1315,1315,"E Lake Rd at Bonnie Brae St",,42.1702651978,-79.998634,,,0,,0
1317,1317,"E Lake Rd at Carrie St",,42.1739883423,-79.988541,,,0,,0
1318,1318,"E Lake Rd at Ledwick St",,42.1751480103,-79.98526,,,0,,0
1319,1319,"E Lake Rd at Irvine Dr",,42.1763305664,-79.981873,,,0,,0
132,132,"Weschler Ave at W 11th St",,42.1133384705,-80.112129,,,0,,0
1321,1321,"Troupe Rd opp Redwood Dr",,42.1725769043,-79.971207,,,0,,0
1322,1322,"Troupe Rd at Iroquois Ave",,42.1644515991,-79.963242,,,0,,0
1323,1323,"Buffalo Rd at Enormis",,42.1559295654,-79.982193,,,0,,0
1324,1324,"Buffalo Rd at Walbridge Rd",,42.1527481079,-79.98983,,,0,,0
1325,1325,"Buffalo Rd at Saltsman Rd",,42.1506462097,-79.994286,,,0,,0
1327,1327,"Rt 99 at Interchange Plaza",,42.0632705688,-80.099434,,,0,,0
1329,1329,"Rt 99 at Moraine Dr",,42.0596923828,-80.103668,,,0,,0
133,133,"Weshler Ave at W 10th St",,42.1142578125,-80.112762,,,0,,0
1330,1330,"Erepa Grotto Park-OB",,42.0314559937,-80.114189,,,0,,0
1331,1331,"Rt 99 at Bargin Rd-OB",,42.0173454285,-80.12822,,,0,,0
1333,1333,"Rt 99 at Grubb Rd",,42.0035591125,-80.141968,,,0,,0
1335,1335,"Mckean Post Office",,41.997341156,-80.14328,,,0,,0
1336,1336,"Rt 99 at Kevin Dr",,41.9948768616,-80.143471,,,0,,0
1337,1337,"Rt 99 at Old Rt 99",,41.985004425,-80.141472,,,0,,0
1338,1338,"Rt 99 at Golden Rd-OB",,41.9669265747,-80.139656,,,0,,0
