route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
28,43,t5AE-b263-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,43,t5FE-b263-sl2B,"AGILITY - W 29 - D. TOWN",1,611,9393_shp,0,0
28,43,t601-b264-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,43,t651-b264-sl2B,"AGILITY - W 29 - D. TOWN",1,612,9256_shp,0,0
28,43,t655-b262-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,43,t6A5-b262-sl2B,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,43,t6A6-b263-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,43,t6CE-b263-sl2B,"AGILITY - W 29 - D. TOWN",1,611,9393_shp,0,0
28,43,t6D1-b264-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,43,t721-b264-sl2B,"AGILITY - W 29 - D. TOWN",1,612,9256_shp,0,0
28,43,t725-b262-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,43,t775-b262-sl2B,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,43,t776-b263-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,43,t79E-b263-sl2B,"AGILITY - W 29 - D. TOWN",1,611,9256_shp,0,0
28,43,t7A1-b264-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9397_shp,0,0
28,43,t7F1-b264-sl2B,"AGILITY - W 29 - D. TOWN",1,612,9256_shp,0,0
28,43,t83A-b263-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,43,t862-b263-sl2B,"AGILITY - W 29 - D. TOWN",1,611,9256_shp,0,0
28,43,t865-b264-sl2B,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,43,t8B2-b264-sl2B,"AGILITY - W 29 - D. TOWN",1,612,9256_shp,0,0
28,45,t222-b262-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,45,t26D-b262-sl2D,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,45,t271-b263-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,45,t2BC-b263-sl2D,"AGILITY - W 29 - D. TOWN",1,611,9256_shp,0,0
28,45,t2C1-b264-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,45,t2E4-b264-sl2D,"AGILITY - W 29 - D. TOWN",1,612,9256_shp,0,0
28,45,t2EE-b262-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,45,t33B-b263-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,45,t33E-b262-sl2D,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,45,t38B-b263-sl2D,"AGILITY - W 29 - D. TOWN",1,611,9393_shp,0,0
28,45,t38E-b264-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,45,t3B6-b264-sl2D,"AGILITY - W 29 - D. TOWN",1,612,9393_shp,0,0
28,45,t3BD-b262-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,45,t40D-b262-sl2D,"AGILITY - W 29 - D. TOWN",1,610,9393_shp,0,0
28,45,t40E-b263-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,45,t45E-b263-sl2D,"AGILITY - W 29 - D. TOWN",1,611,9256_shp,0,0
28,45,t461-b264-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,45,t4B1-b264-sl2D,"AGILITY - W 29 - D. TOWN",1,612,9393_shp,0,0
28,45,t4B5-b262-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,45,t4DD-b262-sl2D,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,45,t4DE-b263-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,45,t52E-b263-sl2D,"AGILITY - W 29 - D. TOWN",1,611,9393_shp,0,0
28,45,t531-b264-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,45,t581-b264-sl2D,"AGILITY - W 29 - D. TOWN",1,612,9393_shp,0,0
28,45,t585-b262-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9397_shp,0,0
28,45,t5AD-b262-sl2D,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,45,t5AE-b263-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,45,t5FE-b263-sl2D,"AGILITY - W 29 - D. TOWN",1,611,9393_shp,0,0
28,45,t601-b264-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,45,t651-b264-sl2D,"AGILITY - W 29 - D. TOWN",1,612,9256_shp,0,0
28,45,t655-b262-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,45,t6A5-b262-sl2D,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,45,t6A6-b263-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,45,t6CE-b263-sl2D,"AGILITY - W 29 - D. TOWN",1,611,9393_shp,0,0
28,45,t6D1-b264-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,45,t721-b264-sl2D,"AGILITY - W 29 - D. TOWN",1,612,9256_shp,0,0
28,45,t725-b262-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,610,9472_shp,0,0
28,45,t775-b262-sl2D,"AGILITY - W 29 - D. TOWN",1,610,9256_shp,0,0
28,45,t776-b263-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,45,t79E-b263-sl2D,"AGILITY - W 29 - D. TOWN",1,611,9256_shp,0,0
28,45,t7A1-b264-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9397_shp,0,0
28,45,t7F1-b264-sl2D,"AGILITY - W 29 - D. TOWN",1,612,9256_shp,0,0
28,45,t83A-b263-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,611,9472_shp,0,0
28,45,t862-b263-sl2D,"AGILITY - W 29 - D. TOWN",1,611,9256_shp,0,0
28,45,t865-b264-sl2D,"ERIE HEIGHTS - CAUGHEY - AGILITY",0,612,9472_shp,0,0
28,45,t8B2-b264-sl2D,"AGILITY - W 29 - D. TOWN",1,612,9256_shp,0,0
29,39,t28F-b2BD-sl27,"W18 - W26 - IMBC",0,701,9459_shp,0,0
29,39,t2DD-b2BD-sl27,"IMBC - W26 - W18 - D.TOWN",1,701,9229_shp,0,0
29,39,t32C-b2BD-sl27,"W18 - W26 - IMBC",0,701,9459_shp,0,0
29,39,t359-b2BD-sl27,"IMBC - W26 - W18 - D.TOWN",1,701,9229_shp,0,0
29,39,t3A9-b2BD-sl27,"W18 - W26 - IMBC",0,701,9459_shp,0,0
29,39,t3FF-b2BD-sl27,"IMBC - W26 - W18 - D.TOWN",1,701,9372_shp,0,0
29,39,t450-b2BD-sl27,"W18 - W26 - IMBC",0,701,9459_shp,0,0
29,39,t47E-b2BD-sl27,"IMBC - W26 - W18 - D.TOWN",1,701,9229_shp,0,0
29,39,t4CF-b2BD-sl27,"W18 - W26 - IMBC",0,701,9459_shp,0,0
29,39,t525-b2BD-sl27,"IMBC - W26 - W18 - D.TOWN",1,701,9372_shp,0,0
29,39,t54E-b2BD-sl27,"W18 - W26 - IMBC",0,701,9459_shp,0,0
29,39,t5A4-b2BD-sl27,"IMBC - W26 - W18 - D.TOWN",1,701,9229_shp,0,0
29,39,t5F5-b2BD-sl27,"W18 - W26 - IMBC",0,701,9459_shp,0,0
29,39,t64B-b2BD-sl27,"IMBC - W26 - W18 - D.TOWN",1,701,9372_shp,0,0
29,39,t674-b2BD-sl27,"W18 - W26 - IMBC",0,701,9459_shp,0,0
29,39,t6CA-b2BD-sl27,"IMBC - W26 - W18 - D.TOWN",1,701,9229_shp,0,0
29,39,t718-b2BD-sl27,"W18 - W26 - IMBC",0,701,9459_shp,0,0
29,39,t76D-b2BD-sl27,"IMBC - W26 - W18 - D.TOWN",1,701,9373_shp,0,0
29,43,t1F4-b259-sl2B,"W18 - W26 - IMBC",0,601,9419_shp,0,0
29,43,t212-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,43,t212-b25B-sl2B,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,43,t266-b25B-sl2B,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,43,t267-b259-sl2B,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,43,t2BC-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,43,t2BC-b25B-sl2B,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,43,t2EE-b259-sl2B,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,43,t2F3-b25B-sl2B,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,43,t34D-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9415_shp,0,0
29,43,t34D-b25B-sl2B,"W18 - W26 - IMBC",0,603,9414_shp,0,0
29,43,t3A7-b259-sl2B,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,43,t3A7-b25B-sl2B,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,43,t401-b25B-sl2B,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,43,t406-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
29,43,t460-b259-sl2B,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,43,t460-b25B-sl2B,"IMBC - W26 - W18 - D.TOWN",1,603,9415_shp,0,0
29,43,t4BA-b25B-sl2B,"W18 - W26 - IMBC",0,603,9464_shp,0,0
29,43,t4BF-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9415_shp,0,0
29,43,t519-b259-sl2B,"W18 - W26 - IMBC",0,601,9464_shp,0,0
29,43,t519-b25B-sl2B,"IMBC - W26 - W18 - D.TOWN",1,603,9254_shp,0,0
29,43,t578-b259-sl2B,"IMBC - W26 - W18 - D.TOWN",1,601,9254_shp,0,0
